split,label,count
full,areca-palm,13
full,buddhist-pine,7
full,chinese-hibiscus,6
full,grass,6
full,palm,8
full,podocarpus,8
full,podocarpus-macrophyllus,10
full,tropical-almond-tree,8
test,areca-palm,2
test,buddhist-pine,1
test,chinese-hibiscus,1
test,grass,1
test,palm,1
test,podocarpus,1
test,podocarpus-macrophyllus,2
test,tropical-almond-tree,1
train,areca-palm,9
train,buddhist-pine,5
train,chinese-hibiscus,4
train,grass,4
train,palm,6
train,podocarpus,6
train,podocarpus-macrophyllus,7
train,tropical-almond-tree,5
val,areca-palm,2
val,buddhist-pine,1
val,chinese-hibiscus,1
val,grass,1
val,palm,1
val,podocarpus,1
val,podocarpus-macrophyllus,1
val,tropical-almond-tree,2
